route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
222127OWC,222127OWCWD,222127OWCKWD02,さくらえび,2,1,5411942260801536
222127OYL,222127OYLWD,222127OYLYWD05,焼津駅行き,5,0,4804625295212544
222127OYL,222127OYLWE,222127OYLYWE04,焼津駅行き,4,0,4804625295212544
222127F8C,222127F8CWE,222127F8CSWE04,さつき,4,1,5974892214222848
222127F8C,222127F8CWD,222127F8CYWD01,ゆりかもめ,1,0,5728116278296576
222127F8C,222127F8CWD,222127F8CYWD02,ゆりかもめ,2,0,5728116278296576
222127OWC,222127OWCWD,222127OWCSWD01,すいせん,1,0,5126842331693056
222127OWC,222127OWCWD,222127OWCSWD02,すいせん,2,0,5126842331693056
222127OYL,222127OYLWE,222127OYLYWE01,焼津駅行き,1,0,4804625295212544
222127OYL,222127OYLWD,222127OYLOWD06,大井川庁舎行き,6,1,5661458385862656
222127F8C,222127F8CWD,222127F8CSWD06,さつき,6,1,5974892214222848
222127F8C,222127F8CWE,222127F8CYWE05,ゆりかもめ,5,0,5728116278296576
222127OWC,222127OWCWD,222127OWCSWD04,すいせん,4,0,5126842331693056
222127OWC,222127OWCWD,222127OWCKWD04,さくらえび,4,1,5411942260801536
222127F8C,222127F8CWD,222127F8CSWD09,さつき,9,1,5974892214222848
222127F8C,222127F8CWD,222127F8CYWD09,ゆりかもめ,9,0,5728116278296576
222127OYL,222127OYLWE,222127OYLOWE01,大井川庁舎行き,1,1,5661458385862656
222127F8C,222127F8CWE,222127F8CSWE02,さつき,2,1,5974892214222848
222127F8C,222127F8CWD,222127F8CYWD10,ゆりかもめ,10,0,5728116278296576
222127OYL,222127OYLWD,222127OYLYWD01,焼津駅行き,1,0,4804625295212544
222127OYL,222127OYLWD,222127OYLOWD02,大井川庁舎行き,2,1,5661458385862656
222127F8C,222127F8CWD,222127F8CSWD03,さつき,3,1,5974892214222848
222127F8C,222127F8CWD,222127F8CSWD08,さつき,8,1,5974892214222848
222127F8C,222127F8CWE,222127F8CSWE03,さつき,3,1,5974892214222848
222127F8C,222127F8CWE,222127F8CSWE06,さつき,6,1,5974892214222848
222127F8C,222127F8CWD,222127F8CYWD04,ゆりかもめ,4,0,5728116278296576
222127F8C,222127F8CWD,222127F8CYWD08,ゆりかもめ,8,0,5728116278296576
222127OYL,222127OYLWD,222127OYLYWD02,焼津駅行き,2,0,4804625295212544
222127OYL,222127OYLWD,222127OYLYWD06,焼津駅行き,6,0,4804625295212544
222127F8C,222127F8CWE,222127F8CSWE08,さつき,8,1,5974892214222848
222127OYL,222127OYLWD,222127OYLYWD03,焼津駅行き,3,0,4804625295212544
222127OYL,222127OYLWE,222127OYLYWE03,焼津駅行き,3,0,4804625295212544
222127F8C,222127F8CWD,222127F8CSWD01,さつき,1,1,5974892214222848
222127F8C,222127F8CWD,222127F8CSWD07,さつき,7,1,5974892214222848
222127F8C,222127F8CWE,222127F8CYWE04,ゆりかもめ,4,0,5728116278296576
222127OWC,222127OWCWD,222127OWCKWD06,さくらえび,6,1,5411942260801536
222127OYL,222127OYLWD,222127OYLOWD07,大井川庁舎行き,7,1,5661458385862656
222127OYL,222127OYLWD,222127OYLOWD04,大井川庁舎行き,4,1,5661458385862656
222127F8C,222127F8CWE,222127F8CSWE01,さつき,1,1,5974892214222848
222127F8C,222127F8CWD,222127F8CYWD03,ゆりかもめ,3,0,5728116278296576
222127F8C,222127F8CWE,222127F8CYWE06,ゆりかもめ,6,0,5728116278296576
222127OWC,222127OWCWD,222127OWCSWD03,すいせん,3,0,5126842331693056
222127OYL,222127OYLWD,222127OYLOWD01,大井川庁舎行き,1,1,5661458385862656
222127F8C,222127F8CWD,222127F8CYWD06,ゆりかもめ,6,0,5728116278296576
222127OYL,222127OYLWD,222127OYLYWD04,焼津駅行き,4,0,4804625295212544
222127OYL,222127OYLWD,222127OYLOWD05,大井川庁舎行き,5,1,5661458385862656
222127F8C,222127F8CWE,222127F8CYWE08,ゆりかもめ,8,0,5728116278296576
222127F8C,222127F8CWD,222127F8CSWD05,さつき,5,1,5974892214222848
222127F8C,222127F8CWE,222127F8CYWE01,ゆりかもめ,1,0,5728116278296576
222127F8C,222127F8CWE,222127F8CYWE02,ゆりかもめ,2,0,5728116278296576
222127OYL,222127OYLWD,222127OYLOWD08,大井川庁舎行き,8,1,5661458385862656
222127F8C,222127F8CWD,222127F8CSWD02,さつき,2,1,5974892214222848
222127F8C,222127F8CWD,222127F8CYWD05,ゆりかもめ,5,0,5728116278296576
222127F8C,222127F8CWE,222127F8CYWE03,ゆりかもめ,3,0,5728116278296576
222127OWC,222127OWCWD,222127OWCSWD05,すいせん,5,0,5126842331693056
222127OYL,222127OYLWE,222127OYLOWE04,大井川庁舎行き,4,1,5661458385862656
222127OYL,222127OYLWE,222127OYLOWE03,大井川庁舎行き,3,1,5661458385862656
222127F8C,222127F8CWD,222127F8CYWD07,ゆりかもめ,7,0,5728116278296576
222127OWC,222127OWCWD,222127OWCKWD05,さくらえび,5,1,5411942260801536
222127OYL,222127OYLWE,222127OYLYWE02,焼津駅行き,2,0,4804625295212544
222127F8C,222127F8CWD,222127F8CSWD10,さつき,10,1,5974892214222848
222127OWC,222127OWCWD,222127OWCKWD01,さくらえび,1,1,5411942260801536
222127F8C,222127F8CWD,222127F8CSWD04,さつき,4,1,5974892214222848
222127F8C,222127F8CWE,222127F8CSWE05,さつき,5,1,5974892214222848
222127F8C,222127F8CWE,222127F8CSWE07,さつき,7,1,5974892214222848
222127OWC,222127OWCWD,222127OWCKWD03,さくらえび,3,1,5411942260801536
222127OYL,222127OYLWE,222127OYLOWE02,大井川庁舎行き,2,1,5661458385862656
222127OYL,222127OYLWD,222127OYLOWD03,大井川庁舎行き,3,1,5661458385862656
222127F8C,222127F8CWE,222127F8CYWE07,ゆりかもめ,7,0,5728116278296576
